Occupancy Name,Address,NFF GPM,Flow Available,OVAP Score
"David Woodruff, DDS",2015 W Glen,0,Insufficient,0
,"Peoria, IL 61614",,,
Delta Tau Delta,1520 W Bradley AVE,872,Sufficient,23.33
,"Peoria, IL 61606",,,
Delta Upsilon,1318 W Fredonia AVE,1090,Insufficient,23.33
,"Peoria, IL 61606",,,
Dental Arts lab,241 NE Perry AVE,3240,Insufficient,33.61
,"Peoria, IL 61603",,,
Designer Tile and Stone,6523 N Galena RD,1082,Sufficient,30.27
,"Peoria, IL 61614",,,
Detweiller Golf Course,8412 N Galena,242,Sufficient,26.77
,"Peoria, IL 61614",,,
Detweiller Marina,2 Caroline ST,359,Sufficient,21.27
,"Peoria, IL 61602",,,
Diesel,629 Main ST,450,Sufficient,37.4
,"Peoria, IL 61602",,,
discount medical supplies,6738 N Frostwood PKY,285,Sufficient,27.26
,"Peoria, IL 61615",,,
Dixie Rose Country Cabaret,104 South ST,697,Sufficient,34.1
,"Peoria, IL 61605",,,
Doggie Stylez Pet Groomer,210 Morton,68,Sufficient,20.29
,"Peoria, IL 61606",,,
Dollar General,3419 N prospect RD,1102,Sufficient,31.29
,"peoria, IL 61603",,,
Dollar Tree,2411 W Pioneer PKY,540,Sufficient,29.46
,"Peoria, IL 61615",,,
Domino's Pizza,3320 N prospect RD,649,Sufficient,31.04
,"peoria, IL 61603",,,
Dominos,10408 N Centerway DR,212,Sufficient,29.21
,#H,,,
,"Peoria, IL 61615",,,
Donlan Dental,843 W Glen,1146,Insufficient,27.74
,"Peoria, IL 61614",,,
Donna's,456 Fulton CT,57,Sufficient,17.97
,#1690,,,
,"Peoria, IL 61602",,,
Donnelly's Pub,4501 N Rockwood RD,1046,Insufficient,0
,"Peoria, IL 61604",,,
Double A's Pizza Pub,7301 N Radnor RD,360,Sufficient,24.2
,"Peoria, IL 61615",,,
Dozer Park,730 SW Jefferson AVE,2184,Insufficient,25.18
,"Peoria, IL 61605",,,
DR JOHN GYSIN EYECARE,5901 N Prospect RD,0,Insufficient,0
,#11,,,
,"Peoria, IL 61614",,,
Dr Rashid & Dr Putnam Plastic Surgery,804 W Trailcreek DR,865,Insufficient,0
,"Peoria, IL 61615",,,
"Dr. Isabelle Reed, DDS",2514 W Scenic,846,Insufficient,30.8
,"Peoria, IL 61615",,,
Dream,2205 SW Washington ST,1791,Sufficient,36.3
,"Peoria, IL 61605",,,
Dream Center,714 Hamilton BLVD,2700,Insufficient,37.2
,"Peoria, IL 61603",,,
Duffy's,1900 W Antoinette ST,569,Sufficient,34.1
,"Peoria, IL 61605",,,
DUNKIN DONUTS,8209 N Knoxville AVE,1207,Insufficient,35.57
,"Peoria, IL 61615",,,
Easter Seals,507 E Armstrong AVE,1423,Sufficient,28.36
,"Peoria, IL 61603",,,
